0.0;-1.0;0.0151 
0.1;-1.0;0.0173 
0.2;-1.0;0.0207 
0.30000000000000004;-1.0;0.0238 
0.4;-1.0;0.0296 
0.5;-1.0;0.0299 
0.6000000000000001;-1.0;0.0394 
0.7000000000000001;-1.0;0.0436 
0.8;-1.0;0.0519 
0.9;-1.0;0.0612 
1.0;-1.0;0.0635 
1.1;-1.0;0.0717 
1.2000000000000002;-1.0;0.0804 
1.3;-1.0;0.0883 
1.4000000000000001;-1.0;0.1 
1.5;-1.0;0.1136 
1.6;-1.0;0.1282 
1.7000000000000002;-1.0;0.1342 
1.8;-1.0;0.1459 
1.9000000000000001;-1.0;0.1553 
2.0;-1.0;0.1677 
2.1;-1.0;0.1832 
2.2;-1.0;0.1904 
2.3000000000000003;-1.0;0.2027 
2.4000000000000004;-1.0;0.2241 
2.5;-1.0;0.2307 
2.6;-1.0;0.2397 
2.7;-1.0;0.2527 
2.8000000000000003;-1.0;0.2704 
2.9000000000000004;-1.0;0.2802 
3.0;-1.0;0.2908 
3.1;-1.0;0.3055 
3.2;-1.0;0.3172 
3.3000000000000003;-1.0;0.3397 
3.4000000000000004;-1.0;0.3518 
3.5;-1.0;0.3619 
3.6;-1.0;0.3753 
3.7;-1.0;0.3727 
3.8000000000000003;-1.0;0.3932 
3.9000000000000004;-1.0;0.4076 
0.0;-0.998;0.0089 
0.1;-0.998;0.0127 
0.2;-0.998;0.0154 
0.30000000000000004;-0.998;0.0156 
0.4;-0.998;0.0191 
0.5;-0.998;0.0259 
0.6000000000000001;-0.998;0.0306 
0.7000000000000001;-0.998;0.0328 
0.8;-0.998;0.0333 
0.9;-0.998;0.0431 
1.0;-0.998;0.047 
1.1;-0.998;0.0563 
1.2000000000000002;-0.998;0.0599 
1.3;-0.998;0.0682 
1.4000000000000001;-0.998;0.0795 
1.5;-0.998;0.0842 
1.6;-0.998;0.0936 
1.7000000000000002;-0.998;0.1007 
1.8;-0.998;0.1153 
1.9000000000000001;-0.998;0.1184 
2.0;-0.998;0.132 
2.1;-0.998;0.1392 
2.2;-0.998;0.1472 
2.3000000000000003;-0.998;0.1562 
2.4000000000000004;-0.998;0.1599 
2.5;-0.998;0.1758 
2.6;-0.998;0.1909 
2.7;-0.998;0.2011 
2.8000000000000003;-0.998;0.2113 
2.9000000000000004;-0.998;0.2231 
3.0;-0.998;0.2277 
3.1;-0.998;0.2412 
3.2;-0.998;0.2518 
3.3000000000000003;-0.998;0.2707 
3.4000000000000004;-0.998;0.2837 
3.5;-0.998;0.2889 
3.6;-0.998;0.3051 
3.7;-0.998;0.3104 
3.8000000000000003;-0.998;0.3131 
3.9000000000000004;-0.998;0.3273 
0.0;-0.996;0.0118 
0.1;-0.996;0.0142 
0.2;-0.996;0.0171 
0.30000000000000004;-0.996;0.0229 
0.4;-0.996;0.029 
0.5;-0.996;0.0326 
0.6000000000000001;-0.996;0.0387 
0.7000000000000001;-0.996;0.0371 
0.8;-0.996;0.0471 
0.9;-0.996;0.0575 
1.0;-0.996;0.0633 
1.1;-0.996;0.0677 
1.2000000000000002;-0.996;0.0751 
1.3;-0.996;0.0851 
1.4000000000000001;-0.996;0.1008 
1.5;-0.996;0.1121 
1.6;-0.996;0.1189 
1.7000000000000002;-0.996;0.1358 
1.8;-0.996;0.1466 
1.9000000000000001;-0.996;0.1629 
2.0;-0.996;0.17 
2.1;-0.996;0.1833 
2.2;-0.996;0.1942 
2.3000000000000003;-0.996;0.2041 
2.4000000000000004;-0.996;0.22 
2.5;-0.996;0.2246 
2.6;-0.996;0.2449 
2.7;-0.996;0.2572 
2.8000000000000003;-0.996;0.2694 
2.9000000000000004;-0.996;0.2867 
3.0;-0.996;0.2961 
3.1;-0.996;0.318 
3.2;-0.996;0.3236 
3.3000000000000003;-0.996;0.3318 
3.4000000000000004;-0.996;0.3428 
3.5;-0.996;0.3696 
3.6;-0.996;0.3675 
3.7;-0.996;0.39 
3.8000000000000003;-0.996;0.4044 
3.9000000000000004;-0.996;0.4142 
0.0;-0.994;0.0181 
0.1;-0.994;0.017 
0.2;-0.994;0.021 
0.30000000000000004;-0.994;0.026 
0.4;-0.994;0.0309 
0.5;-0.994;0.0389 
0.6000000000000001;-0.994;0.0442 
0.7000000000000001;-0.994;0.0549 
0.8;-0.994;0.0613 
0.9;-0.994;0.0693 
1.0;-0.994;0.0759 
1.1;-0.994;0.0846 
1.2000000000000002;-0.994;0.0961 
1.3;-0.994;0.1083 
1.4000000000000001;-0.994;0.1164 
1.5;-0.994;0.1358 
1.6;-0.994;0.1499 
1.7000000000000002;-0.994;0.1661 
1.8;-0.994;0.1742 
1.9000000000000001;-0.994;0.1879 
2.0;-0.994;0.2015 
2.1;-0.994;0.2147 
2.2;-0.994;0.2365 
2.3000000000000003;-0.994;0.2473 
2.4000000000000004;-0.994;0.2684 
2.5;-0.994;0.2797 
2.6;-0.994;0.2915 
2.7;-0.994;0.3134 
2.8000000000000003;-0.994;0.3227 
2.9000000000000004;-0.994;0.3495 
3.0;-0.994;0.3614 
3.1;-0.994;0.3676 
3.2;-0.994;0.3881 
3.3000000000000003;-0.994;0.4029 
3.4000000000000004;-0.994;0.422 
3.5;-0.994;0.4274 
3.6;-0.994;0.4456 
3.7;-0.994;0.466 
3.8000000000000003;-0.994;0.4788 
3.9000000000000004;-0.994;0.4894 
0.0;-0.992;0.0194 
0.1;-0.992;0.023 
0.2;-0.992;0.0248 
0.30000000000000004;-0.992;0.0341 
0.4;-0.992;0.0424 
0.5;-0.992;0.0438 
